startdatum,einddatum,jaar,seizoen_naam,aantal_wedstrijden
2023-03-15,2023-09-18 23:59:59,2023,Seizoen 2022/2023 (15 mrt→P),98
2023-09-19,2024-03-14 23:59:59,2024,Seizoen 2023/2024 (P→15 mrt),199
2024-03-15,2024-09-16 23:59:59,2024,Seizoen 2023/2024 (15 mrt→P),109
2024-09-17,2025-03-14 23:59:59,2025,Seizoen 2024/2025 (P→15 mrt),188
2025-03-15,2025-09-15 23:59:59,2025,Seizoen 2024/2025 (15 mrt→P),158
2025-09-16,2026-03-14 23:59:59,2026,Seizoen 2025/2026 (P→15 mrt),191
2026-03-15,2026-09-14 23:59:59,2026,Seizoen 2025/2026 (15 mrt→P),5
